time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
660,2.5499999999993554,2.5499999999975715,2.5499999999781879,2.5499999997954985,2.549999998203345,2.5499999856400577,2.5499998968669795,2.5499993384849198,2.5499962227544106,2.5499808311937149,2.5499135959546426,2.5496540182484098,2.548768345435934,2.5460965883804834,2.5389640003735607,2.5220862409321794,2.486601042009899,2.4200872148312715,2.3084484419793698,2.1397705774349793,1.9089926521689389
720,2.5499999999933554,2.549999999978656,2.5499999998447356,2.5499999988072641,2.5499999913149125,2.549999941814566,2.5499996457977363,2.5499980528678674,2.5499903657045291,2.5499571655413411,2.5498289887464125,2.5493868816215897,2.548024620306085,2.5442733776922193,2.5350335920514149,2.514645278908441,2.4742510232983848,2.4021694338292878,2.2858657676548972,2.1154118336885639,1.8873218819280515
780,2.549999999951079,2.5499999998634197,2.5499999991717064,2.549999994629172,2.5499999666563355,2.5499998077090362,2.5499989827990825,2.5499950950233004,2.549978511788503,2.5499146225571598,2.5496925669396129,2.548996715476882,2.5470308799547463,2.5420223669474367,2.5305044009240909,2.5065613606820012,2.461475083014125,2.3843486925798167,2.2640752942320153,2.092401724937667,1.8670902919041212
840,2.5499999997263703,2.5499999993208635,2.5499999964801909,2.5499999802773918,2.5499998932583776,2.5499994589147481,2.5499974635421365,2.5499890737962492,2.5499568958518348,2.5498445458325874,2.549487868340472,2.548458893317854,2.5457617233644116,2.5393358459621687,2.5254095046900753,2.4979164663939488,2.4483768378087882,2.3666898303010391,2.2430415255606788,2.0706048194061148,1.8481241168679323
900,2.5499999987729818,2.5499999972424372,2.5499999875378618,2.5499999385120229,2.5499997046886018,2.549998661979259,2.5499943539927239,2.5499779537372129,2.5499206128659857,2.5497368566801608,2.5491977618481982,2.5477507603159046,2.5441977535390596,2.5362144057542166,2.5197865420062491,2.4887871188008766,2.4350458978366527,2.349247981489746,2.2227443253183092,2.0499096859772674,1.830241163610187
960,2.5499999954041455,2.5499999905084825,2.5499999619753759,2.5499998322570714,2.5499992746833366,2.5499970224279158,2.549988545297631,2.5499589719923077,2.5498636554847218,2.54958039330563,2.5488051389056645,2.5468522899654702,2.5423253875964544,2.532665460844715,2.5136758013717961,2.4792431514219562,2.4215551405613329,2.332056127908201,2.2031379150382895,2.0301948476423664,1.8134090399798675
1020,2.5499999851628541,2.5499999715016779,2.5499998973989255,2.5499995902028183,2.5499983856054729,2.5499939276640462,2.5499784785296677,2.5499285971532504,2.5497790205271769,2.5493632765378091,2.5482934540079842,2.545746302172442,2.5401359220691226,2.5287005653003236,2.507116041734164,2.469343130933614,2.4079573948814215,2.3151267151639647,2.1841763736126802,2.0113938803383045,1.7974913897666436
1080,2.549999957692985,2.5499999236781306,2.5499997502068914,2.5499990871850104,2.5499966910898135,2.5499884894687881,2.5499620856412721,2.5498825274378163,2.5496588546766903,2.5490732424847957,2.5476470851144795,2.544418443095168,2.5376248057432171,2.5243345350591295,2.500145694144337,2.459141400517197,2.3943021326121299,2.2984797223381692,2.1658369844172611,1.9934245106447928,1.7824863699180205
1140,2.5499998913738717,2.5499998144447114,2.5499994424912815,2.5499981195047718,2.5499936749695244,2.5499794905586421,2.5499367505642252,2.5498157251599065,2.5494946306676112,2.5486979630933799,2.5468516422784755,2.5428571669472255,2.5347909772411326,2.519583888220843,2.4927996318611516,2.4486805287577833,2.3806181028221545,2.2821066570825379,2.1480643995515267,1.9762385827823674,1.7683086527161953
1200,2.5499997449476157,2.5499995846407284,2.5499988446934405,2.549996375903127,2.5499886089441288,2.5499653386977021,2.5498992906009397,2.5497224750053893,2.5492773145226724,2.5482252591047705,2.5458939951076229,2.5410532276536224,2.5316356549964611,2.5144655783232288,2.4851102454856924,2.4379999157913317,2.3669375421792807,2.2660214295147121,2.1308571875900739,1.9597933533020235,1.7548380699472439
1260,2.5499994454435053,2.5499991340702626,2.5499977539916716,2.5499934052117008,2.5499805111187404,2.5499440300260523,2.5498459558475202,2.549596460029552,2.548997536731294,2.5476433249682406,2.5447624648612712,2.5389998450937354,2.5281627958502706,2.5089983625753587,2.4771098465617385,2.4271369991037588,2.353289719154644,2.2502328113068581,2.1141923207796087,1.9440348429825447,1.7419706109433599
1320,2.5499988718861863,2.5499983027693984,2.5499958687425561,2.5499885820536541,2.5499681078238829,2.5499131242581194,2.5497724489246774,2.5494308591546542,2.5486457728393046,2.5469409346500833,2.5434469273906566,2.5366925564120582,2.5243786153972554,2.5032020654700879,2.4688300126231284,2.4161275179562969,2.3397030968300427,2.2347496016628696,2.0980468468542082,1.928892285205009,1.7297384290848414
1380,2.5499978345629768,2.5499968480156965,2.5499927596589753,2.5499810721979368,2.5499498008238679,2.5498697327766466,2.5496739621548343,2.5492184559110669,2.5482125124108075,2.546107598700452,2.5419388242160097,2.5341289126633368,2.5202907597370348,2.4970957939043013,2.4602977161068842,2.4049970302127273,2.3261885855278344,2.2195545949358593,2.0823717314581094,1.9143392534483004,1.7181343955033297
1440,2.5499960499647862,2.5499944174203746,2.5499878386497601,2.5499697990411172,2.5499236409823425,2.5498105177741484,2.5495452226388049,2.5489517324030029,2.5476883562231274,2.5451335444881558,2.5402308443428194,2.5313077183790016,2.5159072354500442,2.4906973985741891,2.4515374964800816,2.393770058226365,2.3127627057372568,2.2046524441173685,2.0671688338547707,1.9003589282143036,1.7069977084306169
1500,2.5499931117667995,2.5499905186245702,2.5499803261431842,2.5499534119531129,2.5498873078465887,2.549731699269973,2.5493805415277864,2.5486229608295674,2.5470641270078902,2.5440098228768759,2.5383170839752585,2.5282295080033892,2.5112377337862903,2.4840262056919107,2.4425754308822589,2.3824733459441223,2.2994458132427242,2.1900525743386394,2.0524294182905511,1.8869034978120809,1.6962501212077974
1560,2.5499884585225527,2.5499844864168333,2.5499692180600988,2.5499302580890646,2.5498380976374482,2.5496290756425632,2.5491738822473309,2.5482243236657554,2.5463310289960459,2.5427284846519558,2.5361932259853592,2.5248967274760714,2.5062937768567646,2.4771029639399322,2.4334386226735636,2.3711347682037536,2.2862596366705072,2.1757622248038451,2.038133087250094,1.8739147611329003,1.6859257893450945
1620,2.5499813392379589,2.5499754485911943,2.5499532541316223,2.5498983597412419,2.549772921758954,2.5494980586728619,2.5489189436434905,2.5477480420421221,2.5454807943953823,2.5412826878863526,2.5338565104694104,2.5213133847700293,2.501087660819199,2.469947298521066,2.4241497871847018,2.3597728716733126,2.2732093882829916,2.1617637393448019,2.0242380537044662,1.861372233794621,1.6760019752061643
1680,2.5499707782842447,2.5499622920575473,2.5499308890606875,2.5498553980944791,2.5496883142740723,2.5493337149796282,2.5486092344166718,2.5471864557714303,2.5445057000979556,2.5396665366639968,2.5313052607915907,2.5174842010190202,2.4956314651825711,2.4625775141302513,2.4147299915547054,2.3484062904030845,2.2603056179311811,2.1480568031022158,2.0107385973068279,1.8492502073521537,1.6664392105080565
1740,2.5499555407794641,2.5499436301808891,2.549900266858967,2.5497987021485131,2.5495804445246075,2.5491308084560433,2.5482381416404976,2.5465321006744328,2.5433986326947648,2.5378751412538492,2.5285390235076819,2.5134150098118941,2.4899378629798599,2.4550115146690539,2.4051981583094846,2.3370484307621404,2.2475488878112171,2.1346235823467454,1.9975956769154404,1.8375141473009282,1.6573276740954139
1800,2.5499340998007018,2.5499177726670967,2.549859199591507,2.5497252442053719,2.549445137495717,2.5488838492430057,2.5477990001308908,2.5457777691748014,2.5421530801927279,2.5359044353692677,2.5255580341428079,2.5091115889381097,2.4840179334634556,2.4472632850782401,2.3955665628277738,2.3257039730747247,2.2349312453133994,2.1214428450331075,1.984787733318079,1.8261734594139181,1.6486177867307812
1860,2.54990460636462,2.5498826986357361,2.5498051500365864,2.549631638624906,2.5492778923844952,2.5485871270687048,2.5472851190267636,2.5449164874066881,2.5407630032759445,2.5337509048804607,2.5223628610185846,2.5045794976561431,2.4778818613102156,2.4393456717379318,2.3858474424846947,2.3143810666641551,2.2224551402424018,2.1085149155280849,1.9723200816874595,1.8152151655014255,1.6402444096142095
1920,2.5498648618725088,2.5498360322535216,2.549735216816253,2.5495141419231397,2.5490739001381457,2.5482347429823915,2.5466898188670095,2.5439415518726185,2.5392228912963319,2.5314117417882498,2.5189548182869439,2.4998249615886738,2.4715404161149848,2.4312722003313518,2.3760541451555071,2.3030898909965316,2.2101264681138901,2.095842811459268,1.9601911344158696,1.8046258676324836,1.632107603477883
1980,2.5498122945665003,2.549775022700917,2.549646124762154,2.5493686596544589,2.5488280708352797,2.5478206577104574,2.5460064983462902,2.5428466131994742,2.537527870869082,2.5288850038422317,2.5153362294279402,2.4948553368167166,2.46500581354158,2.4230587619477291,2.3662044715495503,2.2918487039320876,2.1979633059211774,2.0834426264455632,1.9484044989351268,1.7943598678668382,1.624180247745691
2040,2.5497439423994526,2.5496965310156292,2.549534223519287,2.5491907638883426,2.5485350757488265,2.5473387625641024,2.5452287391482211,2.5416258264413858,2.5356739258749665,2.5261699366104589,2.5115108519783083,2.4896794922468759,2.4582915345411043,2.4147216031060839,2.3563143406837272,2.28066910442362,2.1859679177315652,2.0712994307682542,1.9369188968616249,1.7843824556838286,1.6165266675501451
2100,2.5496564455297013,2.5495970270982009,2.5493954977372857,2.5489757238623056,2.5481894022592058,2.5467829550942178,2.5443503845030744,2.5402738873995863,2.533657796648761,2.5232665600776651,2.5074828744334154,2.4843058776003009,2.4514092477238885,2.4062734126482135,2.3463944939646626,2.2695566768837927,2.1741374678960597,2.0594002841317778,1.9257205436843796,1.7746955928207504,1.6090911255629954
2160,2.5495460463606614,2.5494725936607416,2.5492255816474692,2.5487185341986778,2.5477853914828383,2.5461471706778687,2.5433655359081739,2.5387859571852505,2.5314768075723451,2.5201754355940449,2.5032568035674458,2.4787429595861039,2.4443705258883908,2.3977272358486061,2.3364573247941545,2.2585208398692038,2.1624765204787266,2.0477454657108582,1.9148069188758634,1.7652790461879804,1.6018523526722941
2220,2.5494085940354161,2.5493189340326241,2.5490197758067108,2.5484139433518109,2.5473172771864974,2.5454254277116295,2.54226860282263,2.5371577280491158,2.5291289880885821,2.516897914354943,2.4988379195159585,2.4729998752602897,2.4371874106727072,2.3890961344819437,2.3265141855396299,2.2475679816106884,2.1509834792148541,2.0363229083300345,1.904152980587029,1.7561098829182762,1.594875880030352
2280,2.549239557869615,2.54913138898999,2.5487730732453664,2.5480564924295281,2.5467792365327755,2.5446118840074341,2.5410543508275381,2.5353854366948636,2.5266129996345836,2.5134358784709634,2.4942316519249448,2.4670851634800908,2.4298701619879362,2.380389765980639,2.3165711761936207,2.2366977351831387,2.1396496113714778,2.0251163156780647,1.8937446672986133,1.7471986173933114,1.5881033676763856
2340,2.5490340476004585,2.5489049594325128,2.5484801880062808,2.5476405487053393,2.5461654204158974,2.5437008460572081,2.5397178615420204,2.5334657404538095,2.5239279024873844,2.5097914162933388,2.4894432902704935,2.4610068501249018,2.4224284088591275,2.3716177460702821,2.3066362000265181,2.2259150544829049,2.1284769177278431,2.0141271868258315,1.8835837739442221,1.738519831693615,1.5815258413841768
2400,2.5487868344158739,2.5486343288612039,2.5481355808705,2.5471603335687507,2.5454699796984701,2.5426867898593959,2.5382545526330915,2.531395762269399,2.5210732852674096,2.5059671268046273,2.4844785380928029,2.454773186527313,2.4148716346206998,2.3627887529924729,2.2967146263783502,2.2152196415696292,2.1174581580896348,2.0033409857158286,1.8736491089906877,1.7300713602508015,1.5751448697974608
2460,2.5484923791318916,2.5483138931079488,2.5477334928913749,2.5466099597344889,2.5446871024159448,2.5415643897246665,2.5366601826812278,2.5291730433339614,2.5180491154258298,2.5019657919965477,2.4793429299377947,2.4483918317648805,2.4072084703861449,2.3539109722714544,2.286812997464581,2.2046159667467959,2.1065962409190586,1.9927605462640259,1.8639451075885585,1.7218401318781127,1.5689497193006492
2520,2.5481448634549597,2.5479377921697592,2.5472679780140828,2.5459834625076927,2.5438110392247877,2.5403285339484141,2.5349308608106091,2.5267955705450902,2.5148558440188777,2.4977906625188995,2.4740424222177326,2.4418707956072638,2.3994477340504266,2.3449922902102811,2.2769362775769224,2.1941042020925305,2.0958852734157007,1.9823733025227994,1.8544533574998767,1.7138228419873154,1.5629294311240511
2580,2.5477382273313887,2.5474999483317728,2.5467329429352192,2.5452748407676329,2.5428361426228849,2.5389743560786147,2.5330630574465669,2.5242617403955538,2.5114942704767058,2.493445136100239,2.4685827810479344,2.4352175042454638,2.3915974291068736,2.3360401297866678,2.2670905385999487,2.1836891581042632,2.0853300063252083,1.9721865840797466,1.8451863837691456,1.7060130825519824,1.5569910296006542
2640,2.5472662085780784,2.5469941055451555,2.5461221850422739,2.5444780907050637,2.5417568927742011,2.5374972518344174,2.5310536228957163,2.5215704178613678,2.5079657337613122,2.4889332550233529,2.4629706544619001,2.4284407615066232,2.3836677781093063,2.327065241562051,2.2572861397959967,2.173379871818911,2.0749369655360699,1.9622011696663071,1.8361279411582689,1.6983692641671946,1.5512065369539654
2700,2.5467223929188423,2.5464138807091476,2.5454294477268191,2.5435872691515007,2.5405679755392665,2.5358929824009842,2.5288999280138516,2.5187211157785909,2.5042722889453688,2.4842597334095262,2.4572131034159574,2.4215491250409245,2.3756674046173529,2.3180743536203119,2.2475255862553496,2.1631721589514088,2.0646926275735282,1.9523914745998781,1.827246616659677,1.690899898893945,1.5455907062610155
2760,2.5461002788506581,2.5457528283382085,2.5446484831290355,2.5425965482186221,2.5392643137028772,2.5341576506122232,2.5265997276982897,2.5157136533886981,2.5004160373857038,2.4794288420762438,2.4513160361139077,2.414549204234778,2.367602447360591,2.3090720554305113,2.2378113299334479,2.1530665016118018,2.0545968095420677,1.9427615145082775,1.8185598556552749,1.6836115513994911,1.5400417100776957
2820,2.5453933164866016,2.5450044756487675,2.5437730750362464,2.5415002156272553,2.5378410341714459,2.5322876318141261,2.5241510769084519,2.512548134506837,2.4963993430363383,2.4744451814791497,2.4452860081247789,2.4074490257551004,2.3594818420246795,2.300067685361658,2.2281527211304719,2.1430720533692535,2.0446587786099473,1.9333203624650985,1.8100669498112734,1.6764726864096127,1.5345532328110763
2880,2.544594949528066,2.5441623648233742,2.5427970834271116,2.5402927282591286,2.5362935464625589,2.5302797071273635,2.5215525637166811,2.5092253308124222,2.4922253897576034,2.4693143439553094,2.4391307235274828,2.400257785911347,2.3513153265681237,2.2910702418695639,2.2185564483444331,2.1331914342755041,2.03487478882536,1.9240533744449946,1.8017377933850334,1.6694604475762576,1.5292019041752127
2940,2.543698696732998,2.5432201356540434,2.5417145303448039,2.5389688017994203,2.5346176318057991,2.5281311354414369,2.5188033219424475,2.5057465473118645,2.48789774390763,2.4640419368929956,2.432857220042997,2.392982920908278,2.343109327615279,2.2820835116665372,2.2090220751285399,2.1234186984729062,2.0252325751069029,1.9149435799589554,1.793563256081125,1.6625981320119849,1.5239414770719253
3000,2.5426982168656025,2.5421715860932097,2.5405196455260182,2.537523425785551,2.5328094038870388,2.525839527204889,2.5159027813524486,2.5021132257689285,2.4834198407732235,2.4586331063790956,2.426471816225229,2.385631225776693,2.3348704565533125,2.2731135444038224,2.1995551726813241,2.1137595229721793,2.0157393582390175,1.9060030407623212,1.7855588843612111,1.6558640924230297,1.5187092442925023
3060,2.5415873335356651,2.5410106934320185,2.5392068776770342,2.53595186303134,2.5308653050257766,2.5234028672537723,2.5128507830112441,2.4983272678797275,2.4787956790224759,2.4530937735718168,2.4199819515262133,2.3782110238775518,2.3266070531496141,2.2641675677760289,2.1901604568996289,2.1042146442894683,2.0063906674543719,1.8972195271548882,1.7776991478762643,1.6492416256450093,1.5135730025645402
3120,2.5403600974945757,2.5397316778618619,2.5377709625910581,2.5342497272036977,2.528782198164266,2.5208196194670176,2.5096476727641042,2.4943910456091816,2.4740295952874463,2.4474299184687558,2.4133946459826161,2.3707295134219488,2.3183254493968231,2.2552499549612013,2.1808393884376684,2.0947818779365011,1.9971797669042564,1.8885809150503545,1.7699705405874984,1.6427252195815356,1.5085772910946922
3180,2.5390108507669136,2.5383290627228789,2.5362069706797032,2.5324130055735505,2.5265573475313792,2.5180886417455794,2.5062941221714978,2.4903071007999986,2.4691258259620188,2.4416470050875994,2.4067157951592071,2.3631918878416696,2.31002869848504,2.2463599706501833,2.17158575120679,2.085448073420971,1.988086176116979,1.8800624895028952,1.7623568378822423,1.6363403034322805,1.5037347557557923
3240,2.5375342417077555,2.5367976827410632,2.5345102937856177,2.5304380068694972,2.524188305054428,2.5152089817962979,2.5027907976308845,2.4860776500574038,2.4640878281672824,2.4357491663085193,2.3999494370260406,2.3556012494835565,2.3017182868389545,2.2374972643013171,2.1623979106460687,2.0762120032284779,1.9791126571196873,1.8716777581088135,1.7548866650793122,1.630090671037244,1.4989467417455826
3300,2.5359251795590425,2.5351326324209271,2.5326765767537545,2.5283212715727421,2.5216728092807488,2.512179802983491,2.4991384007764368,2.4817049014487531,2.4589191259615109,2.429740908928073,2.3931006314714045,2.3479627499835649,2.293399023365807,2.2286659328922704,2.1532790253406833,2.0670760880867185,1.9702617527628445,1.8634284309805875,1.7475508189967415,1.6239510121795595,1.4942311534358499
3360,2.5341788447928284,2.5333292808155479,2.5307017478965883,2.5260596358846001,2.519008908656347,2.5090005961633133,2.4953379861066951,2.4771914521115361,2.4536236719828586,2.4236271808012511,2.3861748035988994,2.3402816590519726,2.2850753584525316,2.219869071895324,2.1442306997548131,2.0580409015395187,1.9615334438316425,1.8553128898942621,1.7403458553597164,1.6179192183023818,1.4895386676998785
3420,2.5322907614875727,2.5313833440643192,2.5285820912769394,2.5236503007128359,2.5161950187836659,2.5056712083746651,2.4913909351592021,2.4725401794442909,2.4482056452480077,2.4174131229314191,2.3791776142680323,2.3325636951784565,2.2767527127766978,2.2111117118009522,2.1352578238753548,2.0491115313616559,1.9529327586209417,1.8473345221602748,1.733268127362473,1.6119713633492618,1.4848823761649661
3480,2.5302568519323096,2.5292909392985568,2.526314299124897,2.5210908838431711,2.5132299795951671,2.5021919167169124,2.4872990671028448,2.4677544149676347,2.4426697101909216,2.4111044019851944,2.3721152652526447,2.3248150252668931,2.2684365967959388,2.2023980797832619,2.1263626903188451,2.040287517781064,1.9444552258800558,1.839483023587132,1.7263032715459283,1.6061091922447108,1.4802431579108855
3540,2.5280735038324327,2.5270486513758179,2.5238955366166995,2.5183794791730927,2.5101131004060311,2.4985634407014037,2.4830645838605272,2.4628377674222923,2.4370206477632439,2.4047065913646564,2.3649936482773684,2.317041385396454,2.2601322425915495,2.193732785131457,2.1175493820168465,2.0315725163505078,1.9361039886432818,1.8317613401532395,1.7194530018597538,1.6003159571067966,1.475617533151051
3600,2.5257376061122332,2.5246535655185576,2.5213234654086385,2.5155146668543438,2.5068441568292457,2.4947869358756471,2.478690088295874,2.4577942202428029,2.4312636165066221,2.3982256910214321,2.3578191652316418,2.3092490547637321,2.2518451866621625,2.1851198269675702,2.1088192359445785,2.0229636190633453,1.9278698517673538,1.8241512684220955,1.7126894314971077,1.5945805411883778,1.4710935985614697
3660,2.523246589901567,2.5221033078360038,2.5185962824389567,2.5124955474088213,2.503423411776506,2.4908639797358729,2.4741784851807846,2.4526278486347408,2.4254035128442917,2.3916668663138809,2.3505965008122454,2.3014413144577799,2.243576252273864,2.1765564535404547,2.1001648718404975,2.0144480694965856,1.9197348689795759,1.8166334420603609,1.7060066227159254,1.5889336808737042,1.4666569764036232
3720,2.5205984032104518,2.5193960092938266,2.5157126499449665,2.5093216094083255,2.4998513855741442,2.4867962046757102,2.4695324442051976,2.4473421131825286,2.4194441779228204,2.3850338080825488,2.343328630662453,2.2936199526992307,2.2353258093693738,2.168041766424925,2.0915847672193761,2.0060250755694438,1.9117018359824023,1.8092196032119521,1.6994260951109772,1.5833717304839474,1.4622500284072431
3780,2.5177913743406961,2.5165301653027821,2.5126715469787801,2.5059925798957829,2.4961287340801088,2.4825852680994034,2.4647545761438159,2.4419404130221873,2.4133895409997859,2.3783306638027981,2.3360195975053162,2.2857885975652299,2.2270967608837102,2.1595775947332378,2.083079333910177,1.9976935855054672,1.9037686344555151,1.8019052581935293,1.6929346399855547,1.5778806885840055,1.4579176724669807
3840,2.5148241980488044,2.513504630803741,2.509472292387593,2.5025084963062678,2.4922563894510685,2.478233070245623,2.4598477035951252,2.4364263221381912,2.4072436360605556,2.3715615303756024,2.3286730806892431,2.2779499783124653,2.2188903584553228,2.1511633173422635,2.0746460445189103,1.9894496512358935,1.895930553306147,1.7946856697473728,1.6865316493087623,1.5724683724706101,1.4536132213886843
3900,2.5116959750029131,2.5103186569875837,2.50611457177917,2.4988697121293044,2.4882355261382902,2.4737416555093272,2.4548146718884523,2.430803299512772,2.4010102466704759,2.3647301600766144,2.3212924328126046,2.270106743290357,2.2107084100472063,2.1428000597887453,2.0662858725222941,1.9812949168828935,1.8881908751772687,1.7875665484655865,1.6802217089264904,1.5671198718191564,1.4493151241754791
3960,2.5084061923615213,2.5069718714594296,2.5025984179103178,2.4950768829199959,2.4840675668387795,2.4691132664345261,2.4496584971374848,2.4250749952496875,2.3946934427171334,2.3578407829933976,2.3138817754468426,2.2622626680249649,2.2025541783034956,2.1344904978903876,2.0580009024973158,1.9732308341334115,1.8805499249576862,1.7805448872554086,1.6739948175314887,1.5618261119512589,1.4450485046567887
4020,2.5049547609362506,2.5034643200102646,2.4989242663214424,2.4911310445496224,2.4797542892235813,2.4643504764553579,2.4443825050097536,2.4192453455876652,2.3882975399606194,2.3508977920279404,2.3064452333101682,2.2544212612840147,2.1944302571292993,2.1262361103994349,2.0497914038608887,1.9652563455111061,1.8730049212886963,1.7736160299724739,1.6678474249107558,1.5565885331285916,1.4407767285548447
4080,2.5013420628627392,2.4997965120550383,2.4950929930534071,2.487033634738844,2.4752978183957639,2.4594561360009672,2.4389902121881528,2.4133183796057485,2.3818268472258439,2.3439054963066477,2.2989868389534061,2.2465860688179653,2.1863396274397693,2.1180394012319481,2.0416596096386583,1.957373620000741,1.8655582016568966,1.7667828063498854,1.6617804579529776,1.5513931988974063,1.4364795034927234
4140,2.4975689505781813,2.4959694188894952,2.4911059116626513,2.4827864913432167,2.4707006348157616,2.4544334078858925,2.43348542011972,2.407298416681209,2.3752860221639924,2.3368686806694567,2.2915112931490595,2.2387615187271503,2.1782862721436662,2.1099036914697336,2.033607801963047,1.9495832171458243,1.858207313545311,1.7600370003078398,1.6557764352373818,1.5462260342581768,1.4322421813955524
4200,2.4936367810612237,2.4919845107048344,2.4869648181984729,2.4783919088173634,2.4659656410007011,2.4492858319039463,2.4278722431321205,2.4011899851744247,2.3686797473411758,2.329791822909562,2.2840224094860542,2.2309501948356627,2.1702708648106559,2.1018269495207793,2.0256303650483245,1.9418750410853391,1.8509370430119743,1.7533599079468842,1.6498252889729257,1.541113444766377,1.428046575360536
4260,2.489547405362968,2.4878437368909272,2.4826719414423346,2.4738525305962926,2.461095957649917,2.444016974869565,2.4221545568489344,2.3949970261924074,2.3620116974316794,2.3226779504031438,2.2765222029879295,2.2231528377448928,2.1622928090835027,2.0938074571398149,2.0177249846674647,1.934247112195391,1.8437477527464303,1.746758481922454,1.6439408041772057,1.5360456976060297,1.4238677689573171
